user_id,user_url,funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,,"Posted November 5, 2011.",,1250,No ratings yet,True,2
js41637,http://steamcommunity.com/id/js41637,,"Posted June 24, 2014.",,251610,15 of 20 people (75%) found this review helpful,True,2
evcentric,http://steamcommunity.com/id/evcentric,,Posted February 3.,,248820,No ratings yet,True,2
doctr,http://steamcommunity.com/id/doctr,,"Posted October 14, 2013.",,250320,2 of 2 people (100%) found this review helpful,True,2
maplemage,http://steamcommunity.com/id/maplemage,3 people found this review funny,"Posted April 15, 2014.",,211420,35 of 43 people (81%) found this review helpful,True,1
Wackky,http://steamcommunity.com/id/Wackky,,"Posted May 5, 2014.",,249130,7 of 8 people (88%) found this review helpful,True,0
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,1 person found this review funny,Posted May 20.,,730,0 of 1 people (0%) found this review helpful,True,1
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,,Posted July 24.,,730,No ratings yet,True,1
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,5 people found this review funny,"Posted February 1, 2015.",,72850,3 of 3 people (100%) found this review helpful,True,0
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,,Posted June 16.,,252950,0 of 1 people (0%) found this review helpful,True,2
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,,Posted June 11.,,440,No ratings yet,True,1
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,,"Posted December 25, 2013.",,4000,0 of 1 people (0%) found this review helpful,True,1
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,,"Posted June 23, 2012.",,42910,0 of 2 people (0%) found this review helpful,True,1
death-hunter,http://steamcommunity.com/id/death-hunter,,"Posted September 5, 2015.",,232090,0 of 1 people (0%) found this review helpful,True,1
DJKamBer,http://steamcommunity.com/id/DJKamBer,,"Posted July 14, 2014.",,304930,2 of 4 people (50%) found this review helpful,True,0
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,,"Posted June 19, 2015.",,730,1 of 3 people (33%) found this review helpful,True,2
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,,"Posted December 19, 2014.",,33440,1 of 3 people (33%) found this review helpful,False,0
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,17 people found this review funny,"Posted February 17, 2015.",,220200,28 of 31 people (90%) found this review helpful,True,2
PPanther,http://steamcommunity.com/id/PPanther,,"Posted June 7, 2014.","Last edited December 28, 2014.",211820,No ratings yet,True,1
devvonst,http://steamcommunity.com/id/devvonst,,"Posted February 12, 2014.",,440,6 of 9 people (67%) found this review helpful,True,2
Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,,Posted February 27.,,220,No ratings yet,True,2
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,,"Posted February 4, 2015.",,238090,1 of 2 people (50%) found this review helpful,True,2
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,,"Posted January 8, 2015.",,8870,2 of 2 people (100%) found this review helpful,True,1
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,,"Posted October 26, 2015.",,368230,3 of 5 people (60%) found this review helpful,True,0
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,,"Posted December 28, 2015.",,359320,4 of 5 people (80%) found this review helpful,False,0
tru_mu_,http://steamcommunity.com/id/tru_mu_,,"Posted December 15, 2015.",,287980,No ratings yet,True,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,Posted March 31.,,218620,No ratings yet,True,1
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,,"Posted November 12, 2015.",,221100,0 of 8 people (0%) found this review helpful,True,2
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,,"Posted June 18, 2014.",,570,No ratings yet,True,0
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,,"Posted November 20, 2014.",,331470,27 of 41 people (66%) found this review helpful,True,2
Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,,Posted July 9.,,323370,No ratings yet,True,2
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,,"Posted December 29, 2014.",,304930,No ratings yet,True,2
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,,"Posted February 13, 2015.",,12210,No ratings yet,True,2
76561198085547365,http://steamcommunity.com/profiles/76561198085547365,,Posted June 16.,,238460,1 of 1 people (100%) found this review helpful,True,2
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,,"Posted May 21, 2015.",,730,0 of 1 people (0%) found this review helpful,True,2
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,,"Posted December 6, 2013.",,113200,No ratings yet,True,1
boydeer,http://steamcommunity.com/id/boydeer,,"Posted May 12, 2014.",,440,4 of 4 people (100%) found this review helpful,True,1
VVillis,http://steamcommunity.com/id/VVillis,,"Posted January 6, 2015.",,213670,No ratings yet,True,1
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,,"Posted December 22, 2015.",,105600,No ratings yet,True,0
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,,"Posted June 23, 2015.",Last edited April 4.,730,1 of 1 people (100%) found this review helpful,True,1
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,,"Posted April 22, 2013.",,231180,No ratings yet,True,2
76561198170198366,http://steamcommunity.com/profiles/76561198170198366,,Posted January 18.,,271290,No ratings yet,True,2
diego9031,http://steamcommunity.com/id/diego9031,,Posted July 30.,,4000,0 of 1 people (0%) found this review helpful,True,1
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,,"Posted February 11, 2012.",,440,No ratings yet,True,2
76561198078738103,http://steamcommunity.com/profiles/76561198078738103,,Posted February 20.,,304930,No ratings yet,True,1
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,,"Posted March 12, 2015.",,440,1 of 1 people (100%) found this review helpful,True,2
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,,"Posted October 14, 2015.",,1840,3 of 6 people (50%) found this review helpful,True,1
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,,"Posted October 27, 2013.",,440,1 of 1 people (100%) found this review helpful,True,2
Derp-e,http://steamcommunity.com/id/Derp-e,,"Posted November 27, 2015.","Last edited November 27, 2015.",440,1 of 1 people (100%) found this review helpful,True,2
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,"Posted October 9, 2014.",,233250,0 of 11 people (0%) found this review helpful,True,1
Rivtex,http://steamcommunity.com/id/Rivtex,,"Posted December 23, 2015.",,298630,0 of 1 people (0%) found this review helpful,True,1
UTNerd24,http://steamcommunity.com/id/UTNerd24,,"Posted May 6, 2014.",,244210,1 of 1 people (100%) found this review helpful,True,1
sandwiches1,http://steamcommunity.com/id/sandwiches1,,"Posted November 23, 2015.",,417860,No ratings yet,False,1
76561198138053270,http://steamcommunity.com/profiles/76561198138053270,,"Posted June 1, 2014.",,218620,No ratings yet,True,2
lucaswerg,http://steamcommunity.com/id/lucaswerg,,"Posted July 11, 2014.",,218620,2 of 3 people (67%) found this review helpful,True,1
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,,"Posted November 13, 2015.",,377160,1 of 5 people (20%) found this review helpful,True,2
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,1 person found this review funny,"Posted December 17, 2015.",,252490,No ratings yet,True,2
76561198075895633,http://steamcommunity.com/profiles/76561198075895633,,"Posted October 26, 2014.",,440,1 of 1 people (100%) found this review helpful,True,1
TheDropix101,http://steamcommunity.com/id/TheDropix101,,Posted January 11.,,242920,2 of 2 people (100%) found this review helpful,True,1
kube134,http://steamcommunity.com/id/kube134,,"Posted June 28, 2014.",,251990,1 of 1 people (100%) found this review helpful,True,2
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,,"Posted September 12, 2015.",,344760,3 of 4 people (75%) found this review helpful,False,0
MainScout,http://steamcommunity.com/id/MainScout,,Posted February 26.,,550,1 of 1 people (100%) found this review helpful,True,1
yookobz,http://steamcommunity.com/id/yookobz,,"Posted November 19, 2015.",,377160,1 of 3 people (33%) found this review helpful,True,2
Posiblydead,http://steamcommunity.com/id/Posiblydead,,"Posted April 11, 2014.","Last edited June 24, 2014.",277430,No ratings yet,True,2
Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,,"Posted September 26, 2015.",,440,1 of 1 people (100%) found this review helpful,True,2
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,,"Posted June 12, 2015.",,270550,1 of 2 people (50%) found this review helpful,True,1
76561198087407319,http://steamcommunity.com/profiles/76561198087407319,,"Posted January 15, 2014.",,440,1 of 1 people (100%) found this review helpful,True,0
